
SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
         1            1          6          3
         1            2          6          3
         1            3          6          3
         1            4          6          3
         1            5          6          3
         1            6          6          3
         1            7          6          3
         1            8          6          3
         2            1          6          3
         2            2          6          3
         2            3          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
         2            4          6          3
         2            5          6          3
         2            6          6          3
         2            7          6          3
         2            8          6          3
         3            1          6          3
         3            2          6          3
         3            3          6          3
         3            4          6          3
         3            5          6          3
         3            6          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
         3            7          6          3
         3            8          6          3
         4            1          6          3
         7            3          6          3
         7            4          6          3
         7            5          6          3
         7            6          6          3
         7            7          6          3
         7            8          6          3
         8            1          6          3
         8            2          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
         8            3          6          3
         8            4          6          3
         8            5          6          3
         8            6          6          3
         8            7          6          3
         8            8          6          3
         9            1          6          3
         9            2          6          3
         9            3          6          3
         9            4          6          3
         9            5          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
         9            6          6          3
         9            7          6          3
         9            8          6          3
        10            1          6          3
        10            2          6          3
        10            3          6          3
        10            4          6          3
        10            5          6          3
        10            6          6          3
        10            7          6          3
        10            8          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
        11            2          6          3
        11            3          6          3
        11            4          6          3
        11            5          6          3
        12            2          6          3
        12            3          6          3
        12            4          6          3
        12            5          6          3
        13            2          6          3
        13            3          6          3
        13            4          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
        13            5          6          3
        14            2          6          3
        14            3          6          3
        14            4          6          3
        14            5          6          3
        15            2          6          3
        15            3          6          3
        15            4          6          3
        15            5          6          3
        16            2          6          3
        16            3          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
        16            4          6          3
        16            5          6          3
        17            2          6          3
        17            3          6          3
        17            4          6          3
        17            5          6          3
        18            2          6          3
        18            3          6          3
        18            4          6          3
        18            5          6          3
        19            2          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
        19            3          6          3
        19            4          6          3
        19            5          6          3
        20            2          6          3
        20            3          6          3
        20            4          6          3
        20            5          6          3
         4            2          6          3
         4            3          6          3
         4            4          6          3
         4            5          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
         4            6          6          3
         4            7          6          3
         4            8          6          3
         5            1          6          3
         5            2          6          3
         5            3          6          3
         5            4          6          3
         5            5          6          3
         5            6          6          3
         5            7          6          3
         5            8          6          3

SITZNUMMER REIHENNUMMER    SAAL_ID    KINO_ID
---------- ------------ ---------- ----------
         6            1          6          3
         6            2          6          3
         6            3          6          3
         6            4          6          3
         6            5          6          3
         6            6          6          3
         6            7          6          3
         6            8          6          3
         7            1          6          3
         7            2          6          3

120 rows selected. 

